#
# (C) Copyright IBM Corporation 2011, 2016
#
# Example of trace output for avgtemp.tcl

PWR1MS_rcnt,TEMPAVG32MSP0C0_value,TEMPAVG32MSP0C1_value,TEMPAVG32MSP0C2_value,TEMPAVG32MSP0C3_value,TEMPAVG32MSP0C4_value,TEMPAVG32MSP0C5_value,TEMPAVG32MSP0C6_value,TEMPAVG32MSP0C7_value,TEMPAVG32MSP0_value,oca_counter
1532307,0.0,40.2,40.8,41.4,0.0,40.0,38.8,39.8,40.1,166
1532339,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,167
1532371,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,168
1532403,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,169
1532435,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,170
1532467,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,171
1532499,0.0,40.2,40.8,41.0,0.0,40.0,39.0,39.8,40.1,172
1532531,0.0,40.0,40.8,41.0,0.0,39.8,38.8,39.8,40.0,173
1532563,0.0,40.2,40.6,41.0,0.0,40.0,39.2,39.8,40.1,174
1532595,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,175
1532627,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,176
1532659,0.0,39.8,40.8,41.0,0.0,40.0,38.8,39.8,40.0,177
1532691,0.0,40.2,40.6,41.0,0.0,40.0,38.8,39.8,40.0,178
1532723,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,179
1532755,0.0,40.2,40.6,41.0,0.0,39.8,39.2,39.8,40.1,180
1532787,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,181
1532819,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,182
1532851,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,183
1532883,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,184
1532915,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,185
1532947,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,186
